"File","CountDeclMethodPrivate","AvgLineCode","CountLine","MaxCyclomatic","CountDeclMethodDefault","AvgEssential","CountDeclClassVariable","SumCyclomaticStrict","AvgCyclomatic","AvgLine","CountDeclClassMethod","AvgLineComment","AvgCyclomaticModified","CountDeclFunction","CountLineComment","CountDeclClass","CountDeclMethod","SumCyclomaticModified","CountLineCodeDecl","CountDeclMethodProtected","CountDeclInstanceVariable","MaxCyclomaticStrict","CountDeclMethodPublic","CountLineCodeExe","SumCyclomatic","SumEssential","CountStmtDecl","CountLineCode","CountStmtExe","RatioCommentToCode","CountLineBlank","CountStmt","MaxCyclomaticModified","CountSemicolon","AvgLineBlank","CountDeclInstanceMethod","AvgCyclomaticStrict","PercentLackOfCohesion","MaxInheritanceTree","CountClassDerived","CountClassCoupled","CountClassBase","CountInput_Max","CountInput_Mean","CountInput_Min","CountOutput_Max","CountOutput_Mean","CountOutput_Min","CountPath_Max","CountPath_Mean","CountPath_Min","MaxNesting_Max","MaxNesting_Mean","MaxNesting_Min","COMM","ADEV","DDEV","Added_lines","Del_lines","OWN_LINE","OWN_COMMIT","MINOR_COMMIT","MINOR_LINE","MAJOR_COMMIT","MAJOR_LINE","HeuBug","HeuBugCount","RealBug","RealBugCount"
"contrib/analyzers/common/src/java/org/apache/lucene/analysis/ar/ArabicAnalyzer.java",0,7,157,2,0,1,2,8,1,12,0,4,1,6,73,2,6,8,34,0,3,2,6,32,8,6,32,68,23,1.07,16,55,2,46,0,6,1,50,2,0,9,1,7,2.83333333333333,1,11,5.16666666666667,3,2,1.33333333333333,1,3,0.7,0,4,4,2,172,15,0.745222929936306,0.75,0,2,2,0,"FALSE",0,"TRUE",2
"contrib/analyzers/common/src/java/org/apache/lucene/analysis/ar/ArabicLetterTokenizer.java",0,3,54,1,0,1,0,5,1,4,0,1,1,4,28,1,4,4,9,1,0,2,3,4,4,4,9,18,4,1.56,8,13,1,8,0,4,1,0,6,0,1,1,8,3.25,1,3,2.25,2,1,1,1,0,0,0,3,3,3,55,1,0.777777777777778,0.333333333333333,0,3,3,0,"FALSE",0,"FALSE",0
"contrib/analyzers/common/src/java/org/apache/lucene/analysis/ar/ArabicNormalizationFilter.java",0,7,51,2,0,1,0,3,2,7,0,0,2,2,20,1,2,3,11,0,2,2,2,10,3,2,11,23,7,0.87,8,18,2,14,0,2,2,0,4,0,2,1,7,5,3,6,5.5,5,2,1.5,1,1,0.75,0,3,3,3,65,14,0.764705882352941,0.333333333333333,0,2,3,1,"FALSE",0,"FALSE",0
"contrib/analyzers/common/src/java/org/apache/lucene/analysis/ar/ArabicNormalizer.java",0,10,102,6,0,1,17,18,4,21,0,7,4,2,46,1,2,8,21,1,0,16,1,32,8,2,22,41,15,1.12,15,37,6,28,3,2,9,50,1,0,0,1,20,12,4,3,2.5,2,17,9.5,2,2,1.75,1,1,1,1,102,0,1,1,0,1,1,0,"FALSE",0,"FALSE",0
"contrib/analyzers/common/src/java/org/apache/lucene/analysis/ar/ArabicStemFilter.java",0,7,51,2,0,1,0,3,2,7,0,0,2,2,20,1,2,3,11,0,2,2,2,10,3,2,11,23,7,0.87,8,18,2,14,0,2,2,0,4,0,2,1,5,4,3,6,5.5,5,2,1.5,1,1,0.75,0,3,3,3,73,22,0.764705882352941,0.333333333333333,0,2,3,1,"FALSE",0,"FALSE",0
"contrib/analyzers/common/src/java/org/apache/lucene/analysis/ar/ArabicStemmer.java",0,7,178,5,2,2,13,21,3,14,0,7,3,7,81,1,7,20,41,2,0,6,3,61,20,16,27,84,36,0.96,16,63,5,42,0,7,3,97,1,0,0,1,6,4.71428571428571,3,3,2.14285714285714,1,5,2.85714285714286,1,3,2,0,2,2,2,178,0,0.99438202247191,0.5,0,1,2,1,"FALSE",0,"FALSE",0
"contrib/analyzers/common/src/java/org/apache/lucene/analysis/br/BrazilianAnalyzer.java",0,5,177,2,0,1,1,10,1,9,0,4,1,9,72,2,9,10,54,0,4,2,9,49,10,9,33,91,25,0.79,17,58,2,47,0,9,1,55,2,0,9,1,5,2.11111111111111,1,11,4.22222222222222,3,2,1.11111111111111,1,3,0.461538461538462,0,4,4,2,194,17,0.497175141242938,0.75,0,4,2,2,"TRUE",2,"TRUE",2
"contrib/analyzers/common/src/java/org/apache/lucene/analysis/br/BrazilianStemFilter.java",0,7,68,4,0,1,0,8,2,8,0,0,2,3,25,1,3,6,15,0,3,6,3,16,6,3,15,33,11,0.76,10,26,4,19,0,3,3,33,4,0,2,1,4,3.66666666666667,3,7,5.33333333333333,3,4,2,1,3,1.8,0,3,3,3,95,27,0.382352941176471,0.333333333333333,0,4,3,1,"FALSE",0,"FALSE",0
"contrib/analyzers/common/src/java/org/apache/lucene/analysis/br/BrazilianStemmer.java",16,39,1021,122,0,12,0,321,13,50,0,8,13,19,174,1,19,240,34,1,5,122,2,496,240,232,35,762,634,0.23,86,669,122,429,3,19,17,75,1,0,0,1,9,3.73684210526316,1,15,4.21052631578947,1,1189,84.2631578947368,1,3,1.38095238095238,0,3,3,3,1041,20,0.941234084231146,0.333333333333333,0,1,3,5,"FALSE",0,"FALSE",0
"contrib/analyzers/common/src/java/org/apache/lucene/analysis/cjk/CJKAnalyzer.java",0,5,119,2,0,1,1,5,1,11,0,6,1,4,58,2,4,5,28,0,3,2,4,20,5,4,19,46,10,1.26,15,29,2,23,0,4,1,37,2,0,5,1,4,2.5,1,8,4.25,3,2,1.25,1,7,1.25,0,3,3,2,126,7,0.420168067226891,0.666666666666667,0,4,2,1,"FALSE",0,"TRUE",2
